Time,Target X,Current X,Error X,Integral Error X,Derivative Error X,Target Y,Current Y,Error Y,Integral Error Y,Derivative Error Y,dt,Kp_x,Ki_x,Kd_x,Kp_y,Ki_y,Kd_y,P_x,I_x,D_x,P_y,I_y,D_y,Output X,Output Y
1741027013.3365004,640,669.7941284179688,-29.79412841796875,-51872382414.50028,-1.71129615966563e-08,7226.224,514.7941284179688,6711.429992675781,11684780915365.326,3.854868385881051e-06,1741027013.3365004,0.001,0,0,0,0,0,-0.02979412841796875,-0.0,-0.0,0.0,0.0,0.0,-0.02979412841796875,0.0
1741027013.3577302,640,669.7941284179688,-29.79412841796875,-51872382415.132805,-1.711296159644763e-08,7231.376,514.7941284179688,6716.581848144531,11693750435047.816,3.857827475744324e-06,1741027013.3577302,0.001,0,0,0,0,0,-0.02979412841796875,-0.0,-0.0,0.0,0.0,0.0,-0.02979412841796875,0.0
1741027013.3804226,640,669.870361328125,-29.870361328125,-52005105971.69954,-1.7156747769311138e-08,7236.528,515.6851806640625,6720.8426513671875,11701168608709.576,3.860274768694041e-06,1741027013.3804226,0.001,0,0,0,0,0,-0.029870361328125,-0.0,-0.0,0.0,0.0,0.0,-0.029870361328125,0.0
1741027013.398115,640,669.870361328125,-29.870361328125,-52005105972.22802,-1.715674776913679e-08,7241.6797,515.6851806640625,6725.9945068359375,11710138128368.7,3.863233858565023e-06,1741027013.398115,0.001,0,0,0,0,0,-0.029870361328125,-0.0,-0.0,0.0,0.0,0.0,-0.029870361328125,0.0
1741027013.4203496,640,670.5,-30.5,-53101323909.32066,-1.7518395616436164e-08,7246.8315,513.5,6733.33154296875,11722912106623.918,3.86744805856902e-06,1741027013.4203496,0.001,0,0,0,0,0,-0.0305,-0.0,-0.0,0.0,0.0,0.0,-0.0305,0.0
1741027013.4431317,640,670.5,-30.5,-53101323910.01552,-1.751839561620693e-08,7251.9834,513.5,6738.4833984375,11731881626317.766,3.8704071484285465e-06,1741027013.4431317,0.001,0,0,0,0,0,-0.0305,-0.0,-0.0,0.0,0.0,0.0,-0.0305,0.0
1741027013.465001,640,670.8055419921875,-30.8055419921875,-53633280772.82888,-1.769389087816515e-08,7257.1353,513.361083984375,6743.774169921875,11741093002541.498,3.873446027985735e-06,1741027013.465001,0.001,0,0,0,0,0,-0.0308055419921875,-0.0,-0.0,0.0,0.0,0.0,-0.0308055419921875,0.0
1741027013.4918497,640,670.5,-30.5,-53101323911.50141,-1.7518395615716725e-08,7262.287,513.5,6748.787109375,11749820665727.45,3.876325328140346e-06,1741027013.4918497,0.001,0,0,0,0,0,-0.0305,-0.0,-0.0,0.0,0.0,0.0,-0.0305,0.0
1741027013.5110974,640,672.5,-32.5,-56583377939.110664,-1.8667142868999972e-08,7267.439,513.0,6754.43896484375,11759660698904.902,3.879571604820879e-06,1741027013.5110974,0.001,0,0,0,0,0,-0.0325,-0.0,-0.0,0.0,0.0,0.0,-0.0325,0.0
1741027013.5343292,640,672.1666870117188,-32.16668701171875,-56003071023.30619,-1.84756966788353e-08,7272.591,512.0,6760.5908203125,11770371245616.273,3.883105068305821e-06,1741027013.5343292,0.001,0,0,0,0,0,-0.03216668701171875,-0.0,-0.0,0.0,0.0,0.0,-0.03216668701171875,0.0
